ABRAKONTE	Lasithi Crete
ΓΕΦΥΡΑ ΓΑΛΙΚΟΥ	
ΓΕΩΡΓΙ/ΛΗ	
ΓΕΩΡΓΙ/ΛΗ ΑΠ	Georgioupoli Apokoronos
ΓΕΩΡΓΙΚΟΝ	Georgiko
ΓΙΟΥΡΓΑΝΙΣΤΑ	
ΓΚΕΛΑ - ΣΚΟΠΗΣ	
ΓΚΡΑΙΚΑ	
ΓΛΑΣΤΡΑ ΚΛΕΙΤΟΡΙΑΣ	Glastra Klitoria
ΓΛΥΚΟΜΗΛΕΑΣ	Glikomilia
ΓΟΜΑΤΙΟΝ	
ΓΟΝΙΜΟΝ	Gonimo
ΓΟΝΟΙ	
ΓΟΥΒΑΙ	Gouves
ΓΟΥΛΕΜΙΟΝ	Golemi
ΓΟΥΜΕΡΟΝ	Goumero
ΓΟΥΡΓ/ΤΙΣΑΣ	
ΓΟΥΡΝΕΣ ΠΕΔΙΑΔΟΣ	
ΓΟΥΡΝΕΣ ΤΕΜΕΝΟΥΣ	
ΓΡΑΙΚΑ	
ΓΡΑΙΚΙΚΟΝ	Grekiko
ΓΡΑΜ/ΚΟΥΣ	
ΓΡΑΜΜΕΝΟΝ	Grammeno
ΓΡΑΝΙΤΣΕΙΚΑ	Granitseika
ΓΡΥΛΟΣ	
ΓΥΜΝΟΥ	Gimno
ΓΩΝΙΑΙ ΠΕΔΙΑΔΟΣ	Gonies
ΔΑΒΙΕΣ	Davia
ΔΑΛΑΜΑΝΑΡΑΣ	Dalamanara
ΔΑΝΑΚΟΣ ΣΥΡΟΥ	Danakos Siros
ΔΑΡΑ ΚΛΕΙΤΟΡΙΑΣ	
ΔΑΡΑΤΣΟ	
ΔΑΤΟ ΚΑΤΩ	Dato
ΔΑΥΛΩΣΗ	
ΔΑΦΝΑΙ ΑΙΓΙΑΛΙΑ	Dafnes Aigialeia
"ΔΑΦΝΟΥΛΑΟΛΥΜ	"	Daphnoula
ΔΔ ΤΟΛΟΦΩΝΟΣ	
ΔΕΛΒΙΝΑΚΙΟΝ	Delvinaki
ΔΕΛΦΙΝΟΝ	Delfino
ΔΕΜΑΤΙΟΝ	Demati
ΔΕΝΔΡΑ ΤΥΡΝΑΒΟΥ	Dendra Tirnavos
ΔΕΡΒΕΝΙΟΝ	Derveni
ΔΕΡΜΑΤΙΟΝ	Dermati
ΔΕΣΠΟΤΙΚΑ	
ΔΕΣΠΟΤΙΚΟΝ	Δεσποτικό
ΔΕΣΠΩΤΙΚΑ	
ΔΗΜΑΡΙΟ	Dimari
ΔΗΜΑΡΙΌ	Dimari
ΔΗΜΗΤΡΙΤ	
ΔΗΜΟΣ ΑΛΕΞ/ΠΟΛΗΣ	Alexandroupoli
ΔΙΑΚΟΠΤΟΝ	Diakopto
ΔΙΑΛΕΚΤΟΝ	Dialekto
ΔΙΑΛΕΧΤΟ	
ΔΙΑΣΕΛΑ	
ΔΙΑΣΤ.ΠΑΛΑΙΟΚΑΣ	
ΔΙΕΥΧΩΝ	
ΔΙΟΝΥΣΙΟ	Dionisi
ΔΙΟΝΥΣΙΟΝ	
ΔΙΧΟΜΟΙΡΙΟΝ	Dichomiri
ΔΟΚΙΜΙ	Dokimi
ΔΟΚΙΜΙΟΝ	Dokimio
ΔΟΚΙΜΙΟΥ	
ΔΟΚΙΜΙΟΥ 1	
ΔΟΛΟΝ	Dolo
ΔΟΥΝΕΙΚΑ	
ΔΡΑΚΙΑ	Drakia
ΔΡΑΚΟΝΑ ΚΙΣΣΑΜΟ	
ΔΡΑΚΟΝΑ ΚΥΔΩΝΙΑ	
ΔΡΑΚΩΝΑ ΚΥΔ	
ΔΡΙΜΙΣΚΟΥ	Drimiskos
ΔΡΟΥΒΑ	
ΔΡΥΜΟ	
ΔΡΥΜΩΝΑΣ ΡΑΠΤΟΠΟΥΛΟΥ	
ΔΡΥΟΥ	Drios
ΔΥΡΡΑΧΙ	
ΔΥΤ.ΦΡΑΓΚΙΣΤΑ	Fragkista
ΔΥΤΙΚΟΝ	Ditiko
ΔΩΡΙΕΣ	
ΔΩΡΙΟΝ	Dorio
Ε.Ο.ΣΕΡΡΩΝ-ΘΕΣ/ΝΙΚΗΣ	
ΕΓΓΑΡΑΙ	Eggares
ΕΓΡΗΓΟΡΟΥ	
ΕΛΑΙΟΧΩΡΙΟΝ	Elaiochori
ΕΛΑΙΟΧΩΡΙΟΝ ΚΥΝ	
ΕΛΑΙΩΝ ΑΙΓΙΑΛΙΑ	
ΕΛΑΤΟΣ ΒΡΑΓΓΙΑΝΩΝ	
ΕΛΑΦΟΧΩΡΙ ΟΡΕΣΤΙΑΔΑΣ	Elafochori Evros
ΕΛΕΚΙΣΤΡΑ	
ΕΛΕΥΘΕΡΙΟ ΚΟΡΔΕ	
ΕΛΕΥΘΕΡΙΟΝ	Eleftherio Larisa
ΕΛΕΥΘΕΡΟΝ	
ΕΛΕΥΘΕΡΟΧΩΡΙΟΝ	Eleftherochori
ΕΛΗΤΑ	
ΕΛΛΗΝΙΚΟΝ	Elliniko
ΕΛΛΗΝΙΚΟΝ ΑΡΓΟΛ	Elliniko Argolida
ΕΛΛΗΝΙΚΟΝ ΓΟΡΤΥ	Elliniko Gortynia
ΕΜΜΑΝ.ΠΑΠΠΑΣ	Emmanouil Pappa
ΕΜΠΕΣΟΥ	Empesos
ΕΜΠΩΝΑ	Embonas
ΕΞΩ ΔΙΔΥΜΑΣ	Exo Didima
ΕΠΙΣΚ ΓΩΝΙΑΣ	Episkopi Gonias
ΕΠΙΣΚΟΠΗ ΛΑΠΠΑΙΩΝ	Episkopi Lappei
ΕΠΙΣΚΟΠΗ ΜΥΛΟΠΟ	Episkopi Mylopotamos
ΕΠΙΣΚΟΠΙΚΟΝ	Episkopiko
ΕΠΤΑΜΥΛΟ	Eptamili
ΕΡΑΤΕΙΝΟΝ	Eratino
ΕΥΑΓΓΕΛΙΣΜΟΣ ΛΑ	Evaggelismos Larisa
ΕΥΑΝΔΡΟΣ	Evandro
ΕΥΛΑΛΟΝ	Evlalo
ΕΥΜΟΙΡΟΝ	Evmoiro
ΕΥΞ/ΛΗ	Efxeinoupoli
ΕΥΟΣΜΟΝ	Evosmos
ΕΥΡΟΠΟΥΛΟΙ	
ΕΦΤΙΝΑ	
Ζ.ΠΗΓΗ	ΖΩΟΔΟΧΟΣ ΠΗΓΗ
ΖΑΓΚΛΙΒΕ	
ΖΑΓΚΛΙΒΕΡΙΟΝ	Zagliveri
ΖΑΛΤΣΑ	
ΖΑΛΤΣΑ.	
ΖΑΡΟΥΧΛΕΙΚΑ	
ΖΑΧΟΛΗ	
ΖΕΛΙΟΝ	
ΖΕΜΕΝΟΣ	Zemeno
ΖΕΡΒΟ ΜΕΣΟΒΟΥΝΙΟΥ	
ΖΕΡΒΟΧΩΡΙΟΝ	Zervochori
ΖΕΥΓΟΛΑΤΕΙΟ-ΛΙΘΟΤΟΠΟ	
ΖΕΥΓΟΛΑΤΕΙΟΝ ΚΟ	Zevgolateio Corinthia
ΖΕΥΓΟΛΑΤΕΙΟΝ ΜΑ	
ΖΗΛΕΥΤΟΝ	Zilefto
ΖΗΛΩΤΗ	Zilot?
ΖΟΡΙΑΝΟ	Zoriano
ΖΟΥΝΑΚΙΟΝ	Zounaki
ΖΥΦΙΑ	
ΖΩΤΙΚΟΝ	Zotiko
ΗΡΑΙΟΝ	Ireo
ΗΡΑΚΛΚ	
ΘΑΛΕΡΟΝ	Thalero
ΘΕΜΕΛΟΝ	Themelo
ΘΕΟΚΤΙΣΤΟΝ	Theoktisto
ΘΕΡΙΑΝΟΝ	Theriano
ΘΕΡΙΣΟΝ	Theriso
ΘΕΣ/ΝΙΚΗ	Thessaloniki
ΘΗΒΑΙ	Thiva
ΘΗΝΑΙΑ	Thineas
ΘΗΡΑΜΟΝΑ	Thiramonas
ΘΥΡΕΙΟ	Thirio
ΘΥΡΙΟΝ	Thirio
ΙΑΜΠΟΛΙΣ	
ΙΕΡΑ ΜΟΝΗ Ο. ΔΑΥΙΔ	
ΙΛΑΡΙΩΝΑΣ	Ilariona Katsouli
ΙΠΕΙΟΣ	Ipio
ΙΠΠΕΙΟΣ	Ippio
Κ. ΑΓΙΑΝΝΗ	
Κ. ΑΘΑΜΆΝΙΟ	
Κ.ΑΓ.ΙΩΑΝΝΗΣ	Kato Agios Ioannis
Κ.ΑΓΡΟΣ	Kalos Agros
Κ.ΑΛΙΣΣΟΣ	Kato Alissos
Κ.ΑΜΥΓΔΑΛΗ	Kato Amigdali
Κ.ΑΝΑΒΡΥΤΟΣ	
Κ.ΑΣΙΤΕΣ	Kato Asites
Κ.ΑΣΣΟΣ	Kato Assos
Κ.ΑΧΑΙΑ	Kato Achaia
Κ.ΑΧΑΪΑ	Kato Achaia
Κ.ΒΑΘΕΙΑ	Kato Vathia
Κ.ΒΕΡΜΙΟ	Kato Vermio
Κ.ΒΕΡΜΙΟΝ	Kato Vermio
Κ.ΒΛΑΣΙΑ	Kato Vlasia
Κ.ΒΡΥΣΗ	Kali Vrisi
Κ.ΓΟΥΒΕΣ	Kato Gouves
Κ.ΔΙΜΗΝΙΟ	
Κ.ΔΙΜΗΝΙΟΝ	
Κ.ΖΑΧΛΩΡΟΥ	Kato Zachlorou
Κ.ΘΕΟΔΩΡΑΚΙΟΝ	Kato Theodoraki
Κ.ΘΟΛΟΣ	Kato Tholos
Κ.ΚΑΛΕΝΤΙΝΗ	Kato Kalentini
Κ.ΚΑΛΕΝΤΊΝΗ	Kato Kalentini
Κ.ΚΑΛΛΙΝΙΚΗ	Kato Kalliniki
Κ.ΚΑΛΛΙΝΙΚΗΣ	Kato Kalliniki
Κ.ΚΑΜΗΛΑ	Kato Kamila
Κ.ΚΑΣΤΡΙΤΣΙ	Kato Kastritsi
Κ.ΚΑΣΤΡΙΤΣΙΟΝ	Kato Kastritsi
Κ.ΚΕΡΑΣΟΒΟ	Kato Kerasovo
Κ.ΚΛΕΙΝΑΙ	Kato Kleines
Κ.ΚΛΕΙΝΕΣ	Kato Kleines
Κ.ΚΛΕΙΝΩΝ	Kato Kleines
Κ.ΛΕΙΝΕΣ - Κ.ΚΑΛΛΙΝΙ	
Κ.ΛΟΥΣΟΙ	Kato Lousi
Κ.ΛΟΥΤΡΟΝ	Kato Loutro
Κ.ΜΑΚΡΥΝΟΥ	Kato Makrinou
Κ.ΜΑΥΡΙΚΙΟΝ	Kato Mavriki
Κ.ΜΗΛΙΑ	Kato Milia
Κ.ΝΕΥΡΟΚΟΠΙΟΝ	Kato Nevrokopi
Κ.ΟΡΕΙΝΗ	
Κ.ΠΑΝΑΓΙΑ	Kato Panagia
Κ.ΠΕΔΙΝΑ	Kato Pedina
Κ.ΠΟΡΟΙΑ	Kato Poria
Κ.ΣΓ.ΙΩΑΝΝΗΣ	
Κ.ΣΧΟΛΑΡΙΟΝ	Kato Scholari
Κ.ΣΩΤΗΡΙΤΣΑ	Kato Sotiritsa
Κ.ΤΑΞΙΑΡΧΕΣ	Kato Taxiarches
Κ.ΤΑΡΣΟΣ	Kato Tarsos
Κ.ΤΡΙΚΑΛΑ	
Κ.ΤΡΙΤΟΣ	Kato Tritos
Κ.ΧΡΥΣΟΒΙΤΣΑ	Kato Chrisovitsa
ΚΑΒΑΛΛΑΡ	Kavallari
ΚΑΒΑΛΛΑΡΙΟΝ	Kavallari
ΚΑΒΑΛΟΣ	
ΚΑΓΚΑΔΙΟΝ	Kagkadi
ΚΑΔΙΟΝ	Kadi
ΚΑΘΑΡΑΔΕΣ	
ΚΑΙΣΑΡΙ	Kesario
ΚΑΙΣΑΡΙΟΝ	Kesario
ΚΑΛΑΜΑΚΙΟΝ ΦΘΙΩ	
ΚΑΛΑΜΑΡΙ	
ΚΑΛΑΜΙΟΝ ΗΡΑΚΛ	Kalami Iraklio
ΚΑΛΑΜΟΡΕΜΑ	
ΚΑΛΑΜΩΝΑ	
ΚΑΛΑΜΩΤΟΝ	Kalamoto
ΚΑΛΕΣΑ	
ΚΑΛΕΤΖΙΟΝ	Kalentzi
ΚΑΛΛΑΝΔΡ	
ΚΑΛΛΙΓΑΤΑ	
ΚΑΛΛΙΔΡΟΜΟΣ	Kallidromo
ΚΑΛΛΙΡΟΗ	
ΚΑΛΛΙΦΥΤ	Kallifitos
ΚΑΛΛΥΝΤΗΡΙΟ	Kallintiri
ΚΑΛΟΓΕΡΟΡΑΧΗ	
ΚΑΛΟΞΥΛΟΥ	
ΚΑΛΟΥΔΙΑΝΑ ΚΙΣ	Kaloudiana Kissamos
ΚΑΛΟΥΔΙΟΥ	Kaloudi
ΚΑΛΟΧΙΟΝ	Kalochi Thessaloniki
ΚΑΛΟΧΩΡΙ-ΠΑΝΤΕΙ	
ΚΑΛΥΒΑΙ	Kalyves
ΚΑΛΥΒΑΚΙΑ ΞΕΝΙΩΝ	
ΚΑΛΥΒΙΑ ΚΑΡΥΩΝ	
ΚΑΛΥΒΙΑ ΜΥΡΤΟΥΝΤΙΩΝ	
ΚΑΛΥΒΙΑ ΠΕΖΟΥΛΑΣ	
ΚΑΜ.ΒΟΥΡΛΑ	Kamena Vourla
ΚΑΜΑΡΑΙ	Kamares
ΚΑΜΑΡΙΟΝ	Kamari
ΚΑΜΑΡΙΟΝ ΚΟΡΙΝΘ	Kamari Korinthia
ΚΑΜΠΕΑΣ	
ΚΑΜΠΙΑ ΜΑΚΡΑΚΩΜΗΣ	Kampia Makrakomi
ΚΑΝΑΛΑΚΙ	
ΚΑΝΑΛΛΑΚΙΟΝ	Kanallaki
ΚΑΝΑΜΑΤ	
ΚΑΝΔΑΛΟΣ ΜΑΝΤΙΝ	
ΚΑΝΗΘΟΣ	
ΚΑΝΤΑΝΟΥ ΥΠΚ	
ΚΑΠΑΡΙΑΝΑ	
ΚΑΡΑΒΑΔΟ	Karavados
ΚΑΡΑΒΟΜΥΛΟ	Karavomilos
ΚΑΡΑΚΟΛΙΘΟΣ	Korakolitho
ΚΑΡΒΟΥΝΑΡΙ ΗΓΟΥΜΕΝΙΤΣΑΣ	
ΚΑΡΒΟΥΝΙΑΡΙ	
ΚΑΡΔΙΑΚΑΥΤΙΟΥ	Kardiakafti
ΚΑΡΕΙΚΑ	
ΚΑΡΛΟΒΑΣΙΟΝ	Karlovasi
ΚΑΡΝΑΣΙΟΝ	Karnasi
ΚΑΡΟΥΤΩΝ	
ΚΑΡΤΕΡΑΙ	Karteres
ΚΑΡΤΕΡΙΟΝ	Karteri
ΚΑΡΥΑ ΛΑΡΙΣΗΣ	Karya Larissa
ΚΑΡΥΑ ΥΠΑΤΗΣ	Karya Ipati
ΚΑΡΥΑΙ	Karyes
ΚΑΡΥΩΤΙΟΝ	Karioti
ΚΑΣΑΝΟΙ	
ΚΑΣΣΑΝΔΡΙΝΟ	
ΚΑΣΣΑΝΔΡΙΝΟΝ	
ΚΑΣΤΑΝΕΑ ΕΥΡΥΤΑ	
ΚΑΣΤΑΝΕΑΣ	
ΚΑΣΤΑΝΟΥΣΑ	
ΚΑΣΤΕΛ. ΜΕΣΗΣ	
ΚΑΣΤΕΛΙΩΝ	Kasteli
ΚΑΣΤΕΛΛΑΝΟΙ ΓΥΡ	
ΚΑΣΤΕΛΛΑΝΟΙ ΜΕΣ	
ΚΑΣΤΕΛΛΙΟΝ ΠΕΔΙ	
ΚΑΣΤΕΛΟΚΑΜΠΟΣ	
ΚΑΣΤΟΡΙ	
ΚΑΣΤΡΑΚΙ ΑΓΡΙΝΙΟΥ	Kastraki Agrinio
ΚΑΣΤΡΑΚΙΟΝ	Kastraki Trikala
ΚΑΣΤΡΑΚΙΟΝ ΓΟΡΤ	Kastraki Gortynia
ΚΑΣΤΡΑΚΙΟΝ ΚΟΡΙ	Kastraki Korinthia
ΚΑΣΤΡΙ ΓΟΥΒΩΝ	
ΚΑΣΤΡΙ ΛΟΥΤΡΟ	
ΚΑΣΤΡΙΑ ΒΕΛΙΚΑΣ	
ΚΑΣΤΡΙ-ΛΟΥΤΡΟ	
ΚΑΣΤΡΙΟΝ	Kastri Igoumenitsa
ΚΑΣΤΡΙΟΝ ΦΘΙΩΤΙ	Kastri Fthiotida
ΚΑΤΑΒΟΘΡΑΣ	Katavothra
ΚΑΤΑΛΑΚΟΣ	Katalakko
ΚΑΤΑΡΑΧΙ	
ΚΑΤΕΡΝΟΣΚΛΑ	
ΚΑΤΗΧΩΡΙ	
ΚΑΤΡΑΜΙΟ	Palio Katrami
ΚΑΤΩ ΑΜΠΕΛΑ	
ΚΑΤΩ ΒΕΡΒΕΝΩΝ	Kato Vervena
ΚΑΤΩ ΔΙΜΗΝΙΟ	
ΚΑΤΩ ΖΕΡΒΟΧΩΡΙ	
ΚΑΤΩ ΘΕΡΜΕΣ	
ΚΑΤΩ ΛΕΠΙΑΝΑ	
ΚΑΤΩ ΜΑΚΡΥΝΟ	
ΚΑΤΩ ΜΠΡΑΛΟΣ	
ΚΑΤΩ ΟΡΕΙΝΗ	
ΚΑΤΩ ΠΑΥΛΙΑΝΗ	
ΚΑΤΩΓΗ	
ΚΑΥΚΑΝΙΑ	
ΚΑΨΟΡΑΧΗ	
ΚΑΨΟΧΩΡΑ	
ΚΕΛΑΡΙΑ ΚΑΤΑΦΥΛΛΙΟΥ	
ΚΕΛΙ	
ΚΕΛΛΑΡΙΑ.ΔΗΜΟΥ ΑΡΑΧΩΒΗΣ	
ΚΕΝΤΗΤΗ	
ΚΕΝΤΡΙΚΟΝ	Kentriko
ΚΕΝΤΡΟΝ	Kentro
ΚΕΡΑΜΑΤΑΙ	Keramates
ΚΕΡΑΜΙΔΙΟΝ	Keramidi
ΚΕΡΑΜΙΟΥ	Kerami Lesvos
ΚΕΡΑΣΤΑΡΙ	
ΚΕΡΙΟΝ	Keri Zakynthos
ΚΕΣΤΕΛΙ ΦΟΥΡΝΗΣ	
ΚΕΦΑΛΑΡΙΟΝ ΚΟΡΙ	Kefalari Korinthia
ΚΕΦΑΛΑΣ ΑΠ	Kefalas Apokoronos
ΚΕΦΑΛΟΧΩΡΙ ΗΓΟΥΜΕΝΙΤΣΑΣ	
ΚΗΠΟΙ ΖΑΓΟΡΙΟΥ	Kipoi Zagori
ΚΙΒΕΡΙΟΝ	Kiveri
ΚΙΔΑΡΗΣ	Kidaris
ΚΙΖΑΡΙ	
ΚΙΟΝΙΟΝ	Kioni
ΚΙΣΑΜΟΥ ΠΚ	
ΚΛΑΔΕΟ	
ΚΛΑΔΟΡΑΧΗΣ	
ΚΛΕΙΔΙΟΝ	Klidi
ΚΛΕΙΝΟΝ	Kleino
ΚΛΕΙΝΟΣ	Kleino
ΚΛΕΙΟΥ	
ΚΛΕΙΣ/ΜΑΤΑ	
ΚΛΕΙΣΟΡΕΥΜΑΤΑ	
ΚΛΕΙΣΟΧΩΡΙ	
ΚΛΕΙΤΟΡΑ	
ΚΛΕΙΤΟΡΑΣ	
ΚΟΙΛΑΔΙΟΝ	Kiladi
ΚΟΚ.ΠΥΡΓΟΣ	
ΚΟΚΑΛΕΙΚΑ	
ΚΟΛΙΡΙΟΝ	Koliri
ΚΟΛΛΙΝΑΙ	Kollines
ΚΟΛΟΞΥΛΟΥ	Kaloxilos
ΚΟΛΧΙΚΟΝ	Kolchiko
ΚΟΜΙΤΟΝ	Komito
ΚΟΜΝΗΝΙΟ	Komninio
ΚΟΝΙΑΚΟΥ	Koniakos
ΚΟΝΙΣΤΡΑΙ	Konistres
ΚΟΝΤΟΠΟΥΛΗ	Kontopouli
ΚΟΡΙΝΘΟ	Corinth
ΚΟΡΙΤΣΑ ΚΛΕΙΣΤΟΥ	
ΚΟΡΟΜΗΛΕΑ	
ΚΟΡΥΦΑΣΙΟ	Korifasi
ΚΟΡΥΦΑΣΙΟΝ	Korifasi
ΚΟΡΩΝΙΣ	Koroni
ΚΟΣΜΑΤΙΟ	Kosmati
ΚΟΣΜΑΤΙΟΝ	Kosmati
ΚΟΣΤΑ ΠΟΡΤΟΧΕΛΙΟΥ	
ΚΟΥΒΛΙ	
ΚΟΥΒΟΥΚΛΙΟ	Kouvouklia
ΚΟΥΚΟΥΛΙΑ	
ΚΟΥΚΟΥΡΑΒΑ	
ΚΟΥΜΕΪΚΑ	
ΚΟΥΝΟΥΠ/ΝΑ	
ΚΟΥΠΑΚΙΟΥ	Koupaki
ΚΟΥΡΟΥΝΙΩΝ	Kourounia
ΚΟΥΡΤΑΚΙΟΝ ΑΡΓΟ	Kourtaki Argolida
ΚΟΥΡΤΕΣΙΟΥ	Kourtesi
ΚΟΥΣΤΟΧΩΡΙ	
ΚΟΥΤΟΥΜΟΥΛΑ	
ΚΟΥΤΟΥΡΛΑΣ	Koutourla
ΚΟΥΤΣΙΟΝ	Koutsi
ΚΟΥΤΣΙΟΥ	Koutsi
ΚΟΥΤΣΟΝ	Koutso
ΚΡΑΛΙ	
ΚΡΑΝΕΑ ΤΥΡΝΑΒΟΥ	
ΚΡΑΝΙΑ ΕΛΑΣΣΟΝΑΣ	Krania Elassonos
ΚΡΑΣΙΟΝ	Krasi
ΚΡΕΝΤΗ ΚΕΡΑΣΟΧΩΡΙΟΥ	
ΚΡΗΝΙΔΑ (ΒΙΤΑΣΤΑ)	Krinida
ΚΡΙΝΙΑΝΟΙ	
ΚΡΟΚΟΒΑ	
ΚΡΥΟΝΕΡΙΟΝ ΚΑΛΑ	
ΚΡΥΟΝΕΡΙΟΝ ΚΟΡΙ	
ΚΥΠΑΡΙΣΣΙ ΙΣΤΙΑΙΑΣ	Kiparissi Istiea
ΚΥΠΑΡΙΣΣΙ ΨΑΧΝΩΝ	
ΚΥΠΑΡΙΣΣΙΟΝ ΦΘΙ	Kiparissi Fthiotida
ΚΩΜΙΑΚΗ	
ΚΩΝΣΤΑΝΤΙΝΑ ΜΟΝΑΣΤΗΡΑΚΙΟΥ	
ΚΩΤΙΛΙΟΝ	
ΚΩΤΤΑΣ	
ΚΩΤΥΛΙΟ	Kotyli Xanthi
Λ.ΑΙΔΗΨΟΥ	
Λ.ΜΥΛΟΙ	
ΛΑΓΓΑΔΑΚΙ	
ΛΑΓΓΑΔΙ ΑΝΘΗΡΟΥ	
ΛΑΓΓΕΡΗ	
ΛΑΓΟΡΑΧΗ	
ΛΑΔΟΧΩΡΙ	
ΛΑΚΚΙ ΜΕΝΕΤΤΕΣ	
ΛΑΜΠΕΡΟΝ	Lampero
ΛΑΝΘΙΟΝ	Lanthi
ΛΑΝΤΖΟΙΟΝ	
ΛΑΤΖΟΪ	
ΛΑΤΤΑ	
ΛΑΦΙΩΝΑ	
ΛΑΦΥΣΤΙΟ	Lafisti
ΛΑΦΥΣΤΙΟΝ	Lafisti
ΛΕΙΑΝΟΒΕΡΓΙ	Lianovergi
ΛΕΙΑΝΟΒΕΡΓΙΟΝ	Lianovergi
ΛΕΙΑΝΟΚΛΑΔΙΟΝ	Leianokladi
ΛΕΙΒ ΝΑΟΥΣΑΣ	
ΛΕΙΒΑΡΤΖΙΟΝ	Livartzi Kalavryta
ΛΕΙΨΥΔΡΙΟΝ	
ΛΕΝΙΚΑ	
ΛΕΟΝΤΑΡΙΟΝ	Leontari Arcadia
ΛΕΟΝΤΑΡΙΟΝ ΒΟΙΩ	Leontari Boeotia
ΛΕΟΝΤΙΟΝ	
ΛΕΟΝΤΙΟΝ ΚΟΡΙΝΘ	
ΛΕΠΤΟΚΑΡΥΩΝ	Leptokarya
ΛΕΣΙΝΙΟΝ	Lesini
ΛΕΣΣΑΤΑ	
ΛΕΥΚΑΙ	Lefkes Paros
ΛΕΥΚΟΡΙΟΝ	
ΛΕΥΚΟΣ ΜΕΣΟΧΩΡΙΟΥ	Lefkos Karpathos
ΛΕΥΚΟΧΩΡΙΟΝ ΓΟΡ	
ΛΕΥΚΟΧΩΡΙΟΝ ΗΛΕ	
ΛΕΩΝΙΔΙ	Leonidio
ΛΙΑΝΗ ΑΜΜΟΣ	
ΛΙΑΝΟΚΛΑΔΙ	Leianokladi
ΛΙΒΑΔΙΟΝ	Livadi
ΛΙΒΑΔΟΣΤΡΑ	
ΛΙΒΑΡΤΖΙΟΝ	Livartzi
ΛΙΒΙΑΧΩΒΟ	
ΛΙΔΟΡΙΚΙ	Lidoriki Dorida
ΛΙΔΟΡΙΚΙΟΝ	Lidoriki Dorida
ΛΙΘΙΟΝ	Lithi Chios
ΛΙΜΗΝ ΧΕΡΣΟΝΗΣΟ	Limin Ieraka
ΛΙΠΑΡΟΝ	Liparo
ΛΙΧΑΣ	
ΛΙΩΝΑ	
ΛΟΓΓΙΔΙΑ	
ΛΟΓΓΙΕΣ ΜΑΥΡΟΜΑΤΑΣ	Loggies mavromatas
ΛΟΓΓΙΤΣΙ ΚΑΡΠΕΝΗΣΙΟΥ	
ΛΟΓΚΑΝΙΚΟ	
ΛΟΥΒΡΟΣ	Louvro
ΛΟΥΚΙΣΙΑ	
ΛΟΥΡΑΙ	Loures Heraklion
ΛΟΥΡΔΑΣ	
ΛΟΥΤΡΑ ΘΕΡΜΩΝ	Loutra Thermo
ΛΟΥΤΡΑ ΚΑΙΤΣΑΣ	
ΛΟΥΤΣΟΙ	
ΛΟΦΑΡΙΟ	Lofari
ΛΥΓΕΡΕΑ	
ΛΥΚΑΙΟΝ	Lykaio
ΛΥΚΟΤΡΑΦΟ	
ΛΥΚΟΤΡΙΧΙ	
ΛΥΚΟΦΗ	
ΛΥΚΟΧΩΡΟΣ	
Μ .ΕΥΥΔΡΙΟ	Megalo Efidrio
Μ ΠΟΝΤΙΑ	Νεκροταφείο Μέγα Ποντιά
Μ. ΣΑΝΤΑ	
Μ.ΑΥΛΑΚΙ	
Μ.ΒΕΛΑΝΙΔΙΑ	
Μ.ΜΟΝΑΣΤΗΡΙ	Megalo Monastiri
Μ.ΜΟΝΑΣΤΗΡΙΟΝ	Megalo Monastiri
Μ.ΠΟΝΤΙΑΣ	
Μ.ΧΩΡΑΣ	
Μ.ΧΩΡΑΣ 2	
ΜΑΓΙΚΟΝ	Magiko
ΜΑΓΟΥΛΑ ΜΑΝΤΙΝΕ	
ΜΑΙΝΑΛΟΝ	Mainalo
ΜΑΚΡΥΡΡΑΧΗ ΚΑΡΔ	
ΜΑΛΑΚΙΟΝ	Malaki
ΜΑΛΑΚΩΝΤΑΣ	
ΜΑΛΑΝΔΡΕΝΙΟΥ	Malantreni
ΜΑΛΑΣΟΒΑ	
ΜΑΛΩΝ	
ΜΑΛΩΝΑ	Malonas Rodos
ΜΑΜΑΚΑ ΑΡΚΙΤΣΑΣ	
ΜΑΝΑΣΣΗ	
ΜΑΝΔΑΛΟΝ	Mandalo
ΜΑΝΙΑΚΙΟΝ	Maniaki
ΜΑΝΩΛΑ ΘΗΡΑΣΙΑΣ	
ΜΑΡΑΘΟΥΣΑ	
ΜΑΡΓΑΡΙΤΑΙ	Margarites
ΜΑΡΓΑΡΙΤΙΟΝ	Margariti
ΜΑΡΓΑΡΩΝΑ	
ΜΑΡΙΝΙ	
ΜΑΡΙΟΛΑΤΑΣ	
ΜΑΡΜΑΡΙΟΝ	Marmari
ΜΑΡΟΥΔΙΟΝ	Maroudi
ΜΑΣΤΡΟΝ	Mastro
ΜΑΤΙΟΝ	Mati Korinthia
ΜΑΤΟΝΕΡΙΟΥ	Matoneri
ΜΑΥΡΟ ΜΑΝΔΑΛΟ	
ΜΑΥΡΟΚΛΗΣΙ	
ΜΑΥΡΟΛΙΘΟΣ	
ΜΑΥΡΟΛΟΦΟΝ	Mavrolofos
ΜΑΥΡΟΜΑΤΑ	
ΜΑΥΡΟΜΑΤΙ ΑΛΙΑΡΤΟΥ	Mavrommati Aliartos
ΜΑΥΡΟΜΜΑΤΙΟΝ ΒΟ	
ΜΕΓ. ΓΑΡΔΙΚΙΟΝ	
